rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
484,806964,Sebastian Walcott,19.57015742642026,SS,,AA,1083.0,0.18493663361103235,0.004147814130046423,0.009875602511871166,0.9798295623204776,1.0835420203790251
485,676466,Jack Winkler,26.926762491444215,2B,,AA,1270.0,-4.721651448706178,0.025071988036446124,0.05965171783126245,0.976224631659771,0.4888862852693937
486,686770,Dillan Shrum,27.59753593429158,1B,,AA,1198.0,2.186843647238299,0.004846186207923866,0.011538393173484129,0.9727921293988196,0.5513033607157974
487,690903,Lucas Dunn,26.442162902121833,2B,,AAA,1243.0,-0.05749087403136776,0.007863520821424998,0.02633806707121392,0.9686608959604466,0.7095000226724979
488,676024,Donta' Williams,26.275154004106778,OF,,AAA,1097.0,0.029662475624707727,0.008236957773084579,0.01960645033382668,0.9545838276027931,1.0859128424015618
489,702112,Hogan Windish,26.414784394250514,1B,,AA,1432.0,0.4458643732542526,0.007905940325182253,0.018823522024099336,0.9461256378610227,0.6717344738003519
490,804645,Caden Connor,25.182751540041068,OF,,AAA,1048.0,1.8689629450489944,0.0014395272232860543,0.003427445769728699,0.9439433644065868,1.172854842982525
491,682662,Rafael Morel,23.876796714579054,SS,,AAA,1118.0,0.7251402924483132,0.004652278978568955,0.01107685471087846,0.9322242965952011,0.7225800973579665
492,679788,Jack Rogers,26.510609171800137,OF,,AAA,1371.0,2.007415962341798,0.0020016351729776343,0.004765798030899128,0.932054645338675,1.2264436640868115
493,665975,Lolo Sanchez,26.46132785763176,LF,,AA,724.0,0.244229818982221,0.00875182947333764,0.020837543805421684,0.9300284542872365,0.5295460286533131
494,669439,Drew Swift,26.64476386036961,SS,,AAA,1035.0,1.4144425428742875,0.0039027915342021847,0.009292360795719488,0.9192686163336623,1.186944145107447
495,806252,Ralphy Velazquez,20.36413415468857,1B,,AA,997.0,1.341011451164864,1.6263794135248356e-06,3.872331936963894e-06,0.9179873854803888,1.709069647115396
496,685313,Elijah Dunham,27.362080766598222,OF,,AAA,1446.0,-0.9206407605449007,0.012589693814031765,0.029975316045169596,0.9143219536617556,0.8156851983805101
497,690448,Mike Jarvis,27.408624229979466,SS,,AAA,1170.0,1.4543333741093845,0.0050046716882984855,0.011915739555328457,0.9029207804713961,0.9468890971186248
498,701162,Ben Malgeri,25.738535249828885,OF,,AA,1682.0,0.48602290928108866,0.0043824926522203,0.019509669721528858,0.9025775951817011,0.7834549731080231
499,668833,Morgan McCullough,27.802874743326488,SS,,AAA,898.0,0.8723044982299032,0.006564949089668012,0.015630831165876217,0.8998460725847826,1.2868349985007879
500,805126,Charlie Szykowny,25.27310061601643,3B,,A+,1014.0,0.7859944342071369,0.0060173383485241545,0.014326996067914653,0.8987382988457441,0.33869904476039353
501,657675,Rudy Martin,29.686516084873375,RF,,AAA,497.0,-6.517414383875308,0.03378527068621135,0.08082692124325336,0.8984880446059964,0.8822242176171617
502,683546,Albert Fabian,23.797399041752225,OF,,AA,1118.0,0.5032080693788935,0.004662366835614407,0.01110087341812954,0.8950150076512065,0.9470029796863837
503,695299,Terrell Tatum,26.20123203285421,OF,,AA,1215.0,-0.6041679767532924,0.010133691735620603,0.024127692048952546,0.8915724291199597,0.7727856921111101
504,686958,Jose Torres,26.028747433264886,SS,,AAA,1459.0,0.5939232072494326,0.006843245255182606,0.012592549377512308,0.8880009670235829,0.9239484953915893
505,686981,Brenden Dixon,24.88158795345654,SS,,AAA,860.0,1.3054025012082335,0.002238546219931495,0.0053298719522178436,0.8849869984716522,1.3627443218545892
506,677570,Aaron Bracho,24.45722108145106,2B,,AA,1128.0,1.2337036589685382,0.0026831310545625212,0.006388261855957118,0.8674949384604531,0.9204100931012433
507,692405,Jeremy Rivas,22.598220396988363,SS,,AA,1870.0,0.37946275334716484,0.004889359139694302,0.007598066359008337,0.8655424948906231,1.1685370665103658
508,671925,Matt Coutney,26.253251197809718,1B,,AA,1451.0,0.7859944342071369,0.0060173383485241545,0.014326996067914653,0.8512501453367092,0.5580451269062242
509,687659,Kaden Polcovich,26.628336755646817,2B,,AA,970.0,0.4784989078373166,0.007663435747449558,0.018207992280834577,0.8507531165268646,0.42737846780194627
510,676063,Shane McGuire,26.491444216290212,C,,AAA,1412.0,1.948579700874731,0.00128423790869018,0.0030577093064051908,0.8459522224604841,1.308317342449631
511,691458,Blaze Jordan,22.803559206023273,1B,,AAA,1864.0,-6.968119727971124,0.022945860898883386,0.0652715879987844,0.8306627102122104,2.0699226346885675
512,680935,Connor Pavolony,25.95482546201232,C,,AAA,558.0,0.7789177348401766,0.0040343581186715995,0.009605614568265714,0.8200165442451871,1.4165511974825025
513,800597,Nik McClaughry,26.067077344284737,SS,,AAA,395.0,-2.743728753002989,0.013702970702880853,0.03235930080772497,0.8033493233944158,2.3740798886589167
514,670860,Lazaro Armenteros,26.38193018480493,LF,,AAA,836.0,1.0408808661067672,0.003726553169901691,0.008872600225812283,0.8024550557104577,1.2120370653501509
515,701152,Devin Hurdle,25.305954825462013,SS,,AA,177.0,1.4696813355438858,0.002766581218123202,3.872331936963894e-06,0.800302709987028,1.476992845234739
516,686984,Marcus Lee Sang,24.763860369609855,CF,,AAA,1304.0,-0.2006195457230238,0.005483753933896361,0.01305655698546753,0.7997047579020561,2.0102188373296523
517,694410,LuJames Groover,23.479808350444902,3B,,AA,877.0,0.0811027958447808,0.004763932114615111,0.01134269551098836,0.7907369361903723,1.2064765480228035
518,690474,Tommy Sacco Jr.,26.38466803559206,SS,,AAA,1517.0,-2.857436265334137,0.014631462329322118,0.03670065473226181,0.7536220436215654,1.2954265914982703
519,814307,Zyhir Hope,20.71731690622861,CF,,AA,792.0,0.6925394447149109,0.00171338804193223,0.00407949533793388,0.7405157129494703,1.124349523362294
520,669413,Frainyer Chavez,26.376454483230663,2B,,AAA,1515.0,0.7616515261166031,0.0041926530280984135,0.009982361792947335,0.7156027849150357,0.9560847431874443
521,806212,Stone Russell,21.308692676249144,C,,AAA,472.0,1.200197315409314,0.0007643629424629212,0.0018199117677688598,0.7091185824112644,0.5249053582316492
522,696501,Mark Coley II,24.876112251882272,OF,,AAA,903.0,0.10679315076886692,0.004281035030437136,0.010192940548659848,0.7040829442165976,1.702169858756007
523,684081,Erick Brito,23.37303216974675,SS,,AAA,1441.0,0.1749176938502618,0.0034949077430501702,0.008321208912024213,0.7010771238313036,1.6266204012050829
524,702113,Cole Cummings,27.301848049281315,3B,,AA,1358.0,0.4146038690525718,0.006465382779784233,0.01538841463549253,0.694359606086769,0.6249582785565618
525,702331,Noah Mendlinger,25.163586584531142,3B,,AAA,1620.0,1.0277128199056191,0.0014362991058229854,0.0034197597757690125,0.6870040165026136,1.777845176355898
526,681468,Corey Rosier,26.086242299794662,RF,,AAA,1574.0,-4.093235296418014,0.018871532096923445,0.041871410454859745,0.6828197922433327,1.1684428442703463
527,685084,Jordan Brewer,28.186173853524984,CF,,AA,843.0,-0.6003396093338378,0.010648828793872918,0.025349000383322728,0.6778502954129532,0.525425338234598
528,687152,Darrien Miller,24.580424366872005,C,,AA,1472.0,0.1803347801974764,0.004593179130463336,0.010935995370006675,0.6765850136034592,0.8719663095114211
529,805842,Brett Johnson,25.754962354551676,OF,,AAA,558.0,0.23058312451205995,0.004742927888450314,0.011292685448691227,0.673398936206492,1.1503563729262647
530,678681,Luis Toribio,25.026694045174537,3B,,AA,1088.0,0.36732776754047014,0.003908453088629429,0.011894590687212927,0.6673821380614472,0.6426359021986383
